AS0     -Private Use AS-
AS25790 GAMMANETWORKING - Gamma Networking Inc.
AS25791 BILLMATRIX-CORP - BillMatrix Corporation
AS25792 TMC-HEALTHCARE - TMC Healthcare
AS25793 EDSZA-WAN
AS25794 DPCLAX - Dairyland Power Cooperative
AS25795 ARPNET - ARP NETWORKS, INC.
AS25796 ADVIZEX-TECHNOLOGIES - Advizex Technologies
AS25797 TERANET - Teranet Inc.
AS25799 HOLMAN - Holman Enterprises
AS25800 ASPEN-TECHNOLOGY - ASPEN TECHNOLOGY, INC.
AS25801 AUTOMATED-FINANCIAL - Automated Financial Systems
AS25802 HBO - Home Box Office
AS25803 KYUS - KENTUCKY UNDERGROUND STORAGE
AS25804 LLNW-LGA - Limelight Networks, Inc.
AS25805 STIKEMAN - Stikeman Elliott, LLP
AS25806 RALEYNET - Raleys
AS25808 HMTF - Hicks, Muse, Tate & Furst Inc.
AS25809 BOSE-CORPORATION-US - Bose Corporation
AS25810 ADEC - American Distance Education Consortium
AS25811 WORLDLINKTELECOM - World Link Telecom
AS25812 Estafeta Mexicana S.A. de C.V.
AS25813 LASON - Lason Inc.
AS25814 NEBRASKA-ON-RAMP-INC - Nebraska On-Ramp Inc
AS25815 PRIMEOFFICECENTER - Prime Office Center
AS25816 TOURO - Touro College
AS25817 SMARTECHCORP - SMARTECH CORPORATION
AS25818 CMCNETWORKS
AS25820 HMC - Healthcare Management Consultants
AS25821 NET-SCNB - Suffolk County National Bank
AS25822 ACUMENSOL - Acumen Solutions
AS25823 REHABCARE-NET - RehabCare Group, Inc.
AS25824 CONAGRA-FOODS - ConAgra Foods, Inc.
AS25826 UOTTAWA - University of Ottawa
AS25828 STATE-OF-IDAHO - State of Idaho
AS25829 SMITHSONIAN - Smithsonian Institution
AS25830 BLUE-VALLEY - Blue Valley Telecommunications
AS25831 NETBLK-HOU-EXP-1 - The Houston Exploration Company
AS25832 PRODEB
AS25833 TOCT - The Ontario College of Teachers
AS25834 OMD - OMD
AS25835 RBH-CLT-NET1 - Robinson, Bradshaw & Hinson, P.A.
AS25836 STERLING-JEWELERS - Sterling Jewlers Inc.
AS25837 EXTRADEV - ExtraDev, Inc.
AS25838 OMANET - AAA Ohio Motorists Association
AS25839 REDHAWK-NETWORK-ENGINEERING - Redhawk Network Engineering, Inc.
AS25840 CASCADE-ACCESS-LLC-CA-ESTOR1 - Cascade Access, LLC
AS25841 GTS-TRINITY - GlobalTec Solutions, LLP
AS25842 BURR-WOLFF - Burr Wolff, L.P.
AS25844 SKADDEN1 - Skadden, Arps, Slate, Meagher & Flom LLP
AS25845 VIRGINIA-MASON - Virginia Mason Medical Center
AS25846 MERLININFORMATIONSERVICES - MERLIN INFORMATION SERVICES
AS25847 SERVINT - ServInt Corporation
AS25848 LTGC - LAND TITLE GUARANTEE COMPANY
AS25849 FILOGIX - FiLogix Inc.
AS25851 ENTRANCERAMP0 - Entrance Ramp, Inc.
AS25852 HUTCHTEL - Hutchinson Telephone Company
AS25853 ELJY30540 - Ellijay Telephone Company
AS25854 WEBALG-COM - WebALG.com
AS25855 DNS-NY - Digital Networking Systems, INC.
AS25857 ACS-DC-NET - American Chemical Society
AS25859 CFS - Central Refrigerated Service,Inc.
AS25861 AUSTIN-BANK - Austin Bank
AS25862 EROS - Eros Digital Technologies
AS25863 HUNTERENG - Hunter Engineering Company
AS25865 UWMB-BOSTON - United Way of Massachusetts Bay, Inc.
AS25866 ND-K12-I2 - State of North Dakota
AS25867 INTRIA-HP-CORP - INTRIA-HP Corporation
AS25869 HSBC-US - HSBC Bank USA
AS25870 PCFCOM - PACIFIC COAST FEATHER CO.
AS25871 WFG - Willkie, Farr & Gallagher
AS25872 ARQULE - ArQule Inc.
AS25873 MERCY - MERCY MEDICAL CENTER
AS25874 DAVENPORT - Davenport & Company LLC
AS25875 FRIENDFINDER - Friendfinder, Inc.
AS25876 LADWP-INTERNET - Los Angeles Department of Water & Power
AS25879 MGHS - Marquette General Health Systems
AS25882 RL-DBSI-TROOPER-ASN - Redlasso
AS25883 CITIGROUP - Citigroup
AS25884 WIZARDS - Wizards of the Coast
AS25886 EDS-NNAM - EDS
AS25887 SLIAC - St. Louis Internet Access Consortium
AS25888 CPQ-CXO-IOMC - Hewlett-Packard Company
AS25889 QTMEDICAL-1 - QT Medical Services, Inc.
AS25890 ADEMCONET - Ademco
AS25892 VERTEX - Vertex SSX
AS25893 CCU - Community Credit Union
AS25894 WIRECOM - WIRECOM TECHNOLOGIES, CORP.
AS25895 IIA-HFX-NET - InfoInterActive Corp.
AS25897 SERVERBEACH - ServerBeach
AS25898 FULL-SAIL-INC - Full Sail, Inc.
AS25899 LSNET - LS Networks
AS25900 HEMETUSD - Hemet Unified School District
AS25901 CP-MEDIA - Community Newspaper Company
AS25902 EUROPEAN-INVESTORS-INC - European Investors Inc
AS25904 GULFCOAST - Cox Communications (CBS-Gulf-Coast)
AS25905 PPI-DC1 - Pen Publishing Interactive
AS25906 IVGNCB - Invitrogen
AS25907 BRINKER-INT - BRINKER INTERNATIONAL
AS25908 Unitel
AS25910 TELTRAX-ARIN - TELTRAX CORP.
AS25911 CUTCO - Cutco Cutlery Corp.
AS25912 GETCO1 - GETCO, LLC
AS25914 SUNCOM-GPRS - Suncom Wireless
AS25915 IPC-46-NETWO824-ARIN-1 - Independent Purchasing Cooperative, INC.
AS25916 FREEMAN-COMPANIES - The Freeman Companies
AS25918 AACES440 - ABN Amro AACES DIV
AS25919 RBI - REED ELSEVIER
AS25920 EVERYNETWORK - Every Network, Inc.
AS25921 LAF-CONSOLIDATED-GOV - Lafayette Consolidated Government
AS25923 CHOICEPOINT - ChoicePoint, Inc.
AS25925 CITYOFLETH - City of Lethbridge
AS25926 SUPPLYGUYS - Supply Guys Inc.
AS25927 Telecomunicaciones de America S.A. de C.V.
AS25930 GENESIS-HEALTHCARE - Genesis Healthcare Corporation
AS25932 DWSI - Disney Worldwide Services, Inc.
AS25933 SUL-AMERICANA TECNOLOGIA E INFORMATICALTDA.
AS25934 TSI-MAIN - TSI Telecommunication Services
AS25935 WNYRIC-NET - Erie 1 BOCES
AS25936 MJH-SYSTEM - METROPOLITAN JEWISH HEALTH SYSTEM
AS25937 TRANS-VIDEO - Trans-video cable, Inc.
AS25938 SOROS-FUND-MAN - Soros Fund Management LLC
AS25939 DKW - Dresdner Kleinwort Wasserstein
AS25940 TIBCO - TIBCO Software Inc.
AS25941 SUPERCLUBS-25941 - SuperClubs.com
AS25942 CRITICALTECH - Critical Technologies, Inc.
AS25943 WISPAIR - WISPAIR, LLC
AS25944 WITTSEND - Thaumaturgy & Speculums Technology
AS25946 NETACCESS-SYSTEMS - NetAccess Systems Inc
AS25947 CBCM - Commerzbank Capital Markets Corporation
AS25949 ESCOUT - eScout
AS25950 BEGGSTELEPHONE - Beggs Telephone Company, Inc.
AS25951 EDS-NNAM - EDS
AS25952 AEAINVESTORS - AEA Investors Inc.
AS25953 WHAFHNY-1 - Wolf Haldenstein Adler Freeman Herz LLP
AS25954 STERNE - Sterne, Agee & Leach, Inc.
AS25955 PROSKAUER-1 - Proskauer Rose LLP
AS25956 ASPEN - Aspen Communications LLC
AS25957 ACETECHUSA - Acetech USA, Inc
AS25958 MSGCORP-01 - Marketing Systems Group, Inc.
AS25959 SUNTRUST - SunTrust Bank
AS25960 SDI - Strategic Distribution
AS25962 ALC - Atlantic Lottery Corporation
AS25963 TCCD-1 - Tarrant County College District
AS25964 LHMM - Lighthouse Medical Management
AS25965 BRAMCO - BRAMCO, LLC
AS25966 COHERENT - Coherent Inc.
AS25967 OATI-2300 - OPEN ACCESS TECHNOLOGY INTERNATIONAL, INC.
AS25968 SELUNET - Southeastern Louisiana University
AS25969 SLU - St. Louis University
AS25970 IAC - IAC Services LLC
AS25971 MILWAUKEE-PS - Milwaukee Public Schools
AS25972 SAP-AG-PAL - SAP Labs
AS25973 MZIMA - Mzima Networks, Inc.
AS25974 HOTWIRE - Hotwire
AS25975 GREATACCESS - GreatAccess.com, Inc.
AS25976 METROBRIDGE-NET - MetroBridge Networks Corporation
AS25979 COMDC-WI - City of Madison - Data Processing Dept.
AS25980 NTRA-BCWAN - National Thoroughbred Racing Association
AS25981 SNWMD-US - Smith and Nephew wound Management Division
AS25982 NORTH-DALLAS-BANK - North Dallas Bank and Trust
AS25983 ENMAX-ENVISION - Enmax Envision Inc.
AS25984 MEDSTARHEALTH - MedStar Health
AS25985 SAMNET-WMA - Software and More Inc.
AS25987 WESTCHESTER-LIBRARY - Westchester Library System
AS25988 CCL - Center for Creative Leadership
AS25989 STONEEAGLE - StoneEagle Insurance Systems, Inc.
AS25990 INTERMARKMEDIA - Intermarkmedia
AS25991 BENDIXCVS - Bendix Commerical Vehicle Systems
AS25993 TRI-SBC - Technology Resources Inc. SBC
AS25994 NPG-001 - NPG Cable, INC
AS25995 FLI-REDUNDANT-CIRCUIT - Ferndale Pharma Group, Inc
AS25996 FBICJIS - FBI Criminal Justice Information Systems
AS25997 OMMLA-1 - O'Melveny & Myers LLP
AS25998 U.N.D.P. (United Nations Development Programme)
AS25999 DARGAL - Dargal Solutions, Inc.
AS26000 COHN-WOLFE - Cohn & Wolfe
AS26002 SU-NOC - Southern University
AS26003 BLUESEAWESTIN - Blue Networks, Inc.
AS26004 AUTOWEB-AS01 - Autoweb Communications
AS26005 CALLAWAYGOLF - Callaway Golf
AS26006 QUANTIVA - Quantiva, Inc.
AS26007 BHRS - Brown Harris Stevens, LLC
AS26008 QUESTIONMARK - Question Mark Corp.
AS26009 NIFCU - North Island Financial Credit Union
AS26010 QL-ASN-AV - Qlogic Corporation
AS26011 LMCSC - Lexington Medical Center
AS26012 NET-OHIO-BWC - Ohio Bureau of Worker's Compensation
AS26013 NASTECHWA - Nastech Pharmaceuticals
AS26014 TRIZEC-CHICAGO - Trizec Properties, Inc.
AS26015 THINKORSWIM - Thinkorswim inc
AS26016 FNYS - First New York Securities LLC
AS26017 BETTENDORF-LIBRARY - Bettendorf Public Library
AS26018 TENG - Teng & Associates, Inc.
AS26019 MONSTERCABLE - Monster Cable Products, Inc.
AS26020 1-AQUILA - Aquila, Inc.
AS26021 QL-ASN-EP - Qlogic Corporation
AS26022 FIRST-NORTHERN-BANK - First Northern Bank
AS26024 MISYS-FAST-SERVICES - Misys Healthcare Systems LLC
AS26025 COC - City of Calgary
AS26026 DIGITALTHINK-IS - DigitalThink, Inc.
AS26027 MVMC - Mount Vernon Money Center Corp.
AS26028 PANDUIT - Panduit Corp.
AS26029 CEM-AS - CUTTING EDGE MEDIA, INC.
AS26030 GHSINC - GHS Data Management
AS26031 MONMOUTH-COUNTY - Monmouth County
AS26032 FDMS - First Data Merchant Services
AS26033 EDGETRADE - Edgetrade.com, Inc.
AS26034 ASN-DELTA-OUT - Delta Technology
AS26035 SKYLINE3355 - Skyline Exhibits
AS26037 CID-EEI - CID Technology Group, Inc.
AS26039 WPC - Washington Publishing Company / XpediateConsulting
AS26041 MINDSHARE - Mindshare Design
AS26042 TENEX-SYSTEMS - TENEX Systems, Inc.
AS26043 NATL-EDU - National Education Association
AS26044 JWIML - J.H. Whitney Investment Management, LLC
AS26045 NETLI - Netli, Inc.
AS26046 USU-EDU - Utah State University
AS26047 MGMEAD - M.G. Mead and Company
AS26048 CHILENA CONSOLIDADA SEGUROS S.A.
AS26049 SES-AMERICOM-WBES - SES Americom
AS26050 SMC-TPA - Synergy Medical Communications
AS26051 KNOWLES-ELECTRONICS - Knowles Electronics, LLC
AS26052 FORTIS-US - Fortis Clearing Chicago LLC
AS26055 INTELLITRANS-LLC - Intellitrans Inc
AS26056 PCMALL - PCMall
AS26057 DONOVANDATA - Donovan Data Systems, Inc.
AS26058 WEST-TX - Cox Communications Inc.
AS26059 PGH-AS - City of Pittsburgh
AS26060 EMERGING-132 - EMERGING TECHNOLOGY CENTER
AS26061 Equant Colombia
AS26062 IBMCCH-LAX - IBM
AS26063 ALCONLABS-11975 - Alcon Labs
AS26065 ABA-1375 - Anchin, Block & Anchin LLP
AS26066 NVUSD - Napa Valley Unified School District
AS26067 DREAMTANK - DreamTank, LLC
AS26068 ONSH-NET-CHGO-BLK01 - OnShore, Inc.
AS26069 SENTO-CORP - Sento Corp
AS26070 TOURICO-HOLIDAYS - Tourico Holidays
AS26071 LAKEHEAD - Lakehead University
AS26072 ALLEGHENYENERGY - Allegheny Energy
AS26074 FRESHDIRECTINC - Fresh Direct, Inc.
AS26075 MCUNY-01 - Municipal Credit Union of NY
AS26077 SHARPSSG - Sharp Electronics Corporation
AS26079 VCENTRIX - Vcentrix, Inc.
AS26082 POWERSHIFTBVT - Power Shift Computer Services, Inc.
AS26083 FFM - FIMAT FACILITIES MANAGEMENT, INC.
AS26084 PCI - PERSONAL COMPUTERS, INC
AS26085 YAHOO-2 - Yahoo!
AS26086 BESTBUY-2 - Best Buy Co., Inc.
AS26087 FIELDSTONE-MORTGAGE - Fieldstone Mortgage Company
AS26088 INLANDTELEPHONE - Inland Telephone Company
AS26089 KERTEL - KerTel Communications
AS26090 ITE Consultoria Ltda
AS26091 INDDC - Indiana Data Center, LLC
AS26092 LANCOPE-HQ - Lancope
AS26093 HAR - Houston Association of Realtors
AS26095 FINDSVP-625 - FINDSVP
AS26096 LODDEN - Lodden Services
AS26098 CHAPDELAINEANDCO-9150 - Chapdelaine & Co.
AS26099 IAS-1 - Institute for Advanced Study
AS26100 UDRTAS - United Dominion Realty Trust
AS26101 YAHOO-3 - Yahoo!
AS26102 CALIBRE6354 - CALIBRE
AS26103 ACIG - ACIG
AS26104 Telespazio Brasil
AS26105 Telecarrier, Inc
AS26106 ALTONET-ZA
AS26107 Websolute Comercio e Servicos de InformaticaLtda
AS26108 PRICEGRABBER-AS - PriceGrabber.com
AS26109 PMARE-AS - PMA Re Management Company
AS26111 DATAMARKSLC - Datamark Inc.
AS26112 Technopia.NET Ltda.
AS26113 TNS-ASN - Triware Networld Systems
AS26115 MIDATL-1 - MidAtlanticBroadband Maryland, Inc.
AS26116 INDRA - Indra's Net Inc.
AS26118 Ministerio Publico Federal-Proc. Geral daRepublica
AS26119 Orden S.A
AS26120 EDAMERICA-ASN - Educational Services of America, Inc
AS26121 JEPPESEN - Jeppesen
AS26123 ITU-NET-1 - Independence Telecommunications Utility
AS26125 HOLCIMUSINC - Holcim(US)Inc.
AS26126 SCOTCREST - The Scotcrest Group
AS26127 FRONTIERLABRESEARCH - Frontier Communications of America, Inc.
AS26128 APPARELVENTURES - Apparel Ventures, Inc.
AS26129 HOLLYWOOD-CENTER - Hollywood Center Studios
AS26130 ZANET
AS26131 TMC1 - Harley-Davidson, Inc.
AS26132 GLENN-INTERNATIONAL - GLENN International
AS26133 FEWPB - Frankfort Electric and Water Plant Board
AS26134 BROAD-RUN-BORDER-AS - VeriSign Infrastructure & Operations
AS26135 BGP4P360 - Point 360
AS26136 The American School of Lima
AS26137 BALLY-TECHNOLOGIES-US - Bally Technologies, Inc.
AS26138 QUIK-INTERNET-TICOPA - Quik Internet of Ticopa
AS26140 ECORNELL - eCornell
AS26141 CORN - Corn Products International
AS26142 MANNINGTON-SALEM - MANNINGTON MILLS
AS26143 GSP4040 - Greystone Power
AS26144 FISERV-EFT - Fiserv Solutions, Inc.
AS26145 AGCO - Auerbach/Grayson Co.
AS26146 EASYTEL - EasyTEL Communications, Inc.
AS26147 APCAP - Atlantic Pacific Capital
AS26148 CSMPR - Cooperativa de Seguros Multiples de Puerto Rico
AS26149 SETNI-AS - SetNine
AS26150 BMTMICRO - BMT Micro, Inc.
AS26153 BCBSSC - Blue Cross Blue Shield of South Carolina
AS26154 Q-CAPITAL-STRATEGIES - Q Capital Strategies, LLC
AS26155 QUEENS-UNIVERSITY - Queens University of Charlotte
AS26158 WEYRICH-CRONIN-SORRA - Weyrich, Cronin and Sorra
AS26159 UMB - UMB
AS26160 DIGITAL-DEFENSE - DIGITAL DEFENSE INC
AS26161 LEADER-INSURANCE - Leader Insurance
AS26162 TVA SISTEMA DE TELEVISO S/A
AS26163 DATAGRAM - Datagram, Inc.
AS26164 PERFORMANCE-FOODS - Performance Food Group
AS26165 AUTONOMOUSSYSTEM1 - RentPort, Inc.
AS26166 COMWAVZ - Watch TV
AS26167 MPG488 - Madison Performance Group
AS26168 AUBONPAIN-NET - Au Bon Pain
AS26169 PUTNAMLOVELL-NY - Putnam Lovell NBF
AS26170 FRTCI-DOM - Flat Rock Internet Service
AS26173 King's Cross N.V.
AS26174 SVSU - Saginaw Valley State University
AS26175 ALLIED-COMPANIES - Allied Companies
AS26176 CRAMER-BERKOWITZ - Cramer Berkowitz Partners, LP
AS26177 NETIQ-BELLEVUE - NetIQ Corporation
AS26178 NETIQ-SANJOSE-3553 - NetIQ Corporation
AS26179 NETIQ-RALEIGH-1100 - Net IQ Corporation
AS26180 NETIQ-HOUSTON-13939 - NetIQ Corporation
AS26181 FHSLCASN - First Health
AS26182 AS-EXCELLUS - Excellus HealthPlan, Inc.
AS26183 TAKE-TWO - Two Interactive Software, Inc.
AS26184 ACGH-ACG-AC - American Color
AS26186 TOPCON-COM - Topcon America Corp.
AS26188 SELIGMAN - Seligman Data Corporation
AS26189 AVENUE-EDIT - Avenue Edit
AS26191 AIROLINK - AIROLINK
AS26192 IMPAC-FUNDING - Impac-Funding
AS26193 CELLSTARUSA2002 - CellStar, Ltd.
AS26194 ENTEL VENEZUELA
AS26195 DCHUSA - DCH USA
AS26196 MADOFFBUL1 - Bernard L. Madoff Investment Securities
AS26197 ACCUDATA - Accudata America
AS26198 3MENATWORK - 3menatwork.com
AS26201 ABOUT-COM - ABOUT, INC.
AS26203 ALLEGHENYINTEL-ALT - Allegheny Intel, L.L.C.
AS26204 ASN-RI-CBS - Cox Communications Inc.
AS26206 ASN-UREGINA - University of Regina
AS26207 AQUILENT - Aquilent, Inc.
AS26208 WEYRICH-CRONIN-SORRA1 - Weyrich Cronin and Sorra
AS26209 NETWORK-TOOL - Network Tool and Die Company, Inc.
AS26210 AES Communications Bolivia S.A.
AS26212 FREEHOSTING123 - GIANTREWARDS
AS26213 DMSMAIN - Dealer Marketing Services
AS26214 KERN-BGP - County of Kern
AS26216 UHSINC - Universal Health Services, Inc.
AS26217 CTM-MEDIA - Cox Target Media
AS26218 Dataprev
AS26219 NETHERE - NetHere Inc.
AS26221 ASN-BMONB-AS1 - BMO Nesbitt Burns Inc.
AS26222 DANGER-COM - DANGER.com
AS26223 SILVERSTAR-TELEPHONE - Silverstar Telephone Co.
AS26224 PRE-SOLUTIONS - pRE Solutions, Inc.
AS26225 NSPNET-1 - NETWORK SERVICES PLUS, INC.
AS26226 CHFA - Colorado Housing and Finance Authority
AS26227 COOPERIX-NET - Sandelman Software Works Corporation
AS26228 SERVEPATH - ServePath, LLC
AS26229 US-SEC - U.S. Securities & Exchange Commission
AS26230 TOTTAWA - Telecom Ottawa Limited
AS26231 SAN-FRAN - San Francisco International Airport
AS26233 SPORTSDIRECT-INC - SportsDirect Inc.
AS26234 NIBBLE - Nibble Information Systems Inc.
AS26235 FIRSTG - First Guaranty Mortgage Corporation
AS26237 LACERT-TECH - Lacerte Technologies, Inc.
AS26238 OPTICALS - OPTICAL SOCIETY OF AMERICA
AS26239 ATLASAIR - atlas air inc
AS26240 SSKC1 - STATE STREET
AS26241 3ZNET-CVG001 - 3z.net
AS26242 INFOTRIEVE - Infotrieve Inc.
AS26243 INTELSAT-S - Intelsat Servco
AS26244 BGMU - Bowling Green Municipal Utilities
AS26245 ROBERT-H - Robert Half International
AS26246 JPI - JPI Partners LLC
AS26247 HCCA - Hamilton-Clermont Cooperative Assn.
AS26248 MESSAGELABS - MessageLabs Inc.
AS26249 MAI-CRO - MAI
AS26251 SIRIUS-1 - Prospeed.Net,Inc.
AS26254 568721-017489901135-1 - Mail2world INC.
AS26255 BESTMAILS - Bestmails
AS26256 ACTIVEHOST - ActiveHost Corporation
AS26257 CSLLC - Clever Systems LLC
AS26258 BASF-CORP - BASF Corporation
AS26259 EDUROTECH-AS - Eduro Technologies, Inc.
AS26260 WAUSAU-BENEFITS-INC - Wausau Benefits, Inc
AS26261 FLOWSERVE - Flowserve Corp
AS26262 SNELL-WILMER - Snell & Wilmer
AS26263 INSIGNIS - Insignis
AS26264 MILLENNIUM2002 - Millennium Bank, N.A.
AS26265 ARIZONA-MAIL-ORDER - Arizona Mail Order Co., Inc.
AS26267 SIMPLER-WEBB - Simpler-Webb, Inc.
AS26269 NPSIS - NPS Internet Solutions, LLC.
AS26270 ECHELONCORPORATION - Echelon Corporation
AS26271 CMSINTERNET - CMSInter.Net LLC
AS26272 AFFINITY-BANK - Affinity Bank
AS26273 SKTH-AS - Sukatash
AS26274 REGIONS-FINANCIAL - Regions Financial
AS26275 PTCT - Patient Care Technologies
AS26276 TIMKEN-USA - The Timken Company
AS26277 PREMIANET - A+ Hosting, Inc.
AS26278 SONY-MUSIC-USA - Sony Music Entertainment, Inc.
AS26279 ANCC - Advanced Networking and Communication Corporation
AS26280 POLARIS - Polaris Industries, Inc.
AS26281 RIML-CORP-AS-1 - Research In Motion Limited
AS26282 MESSAGELABSINC - MessageLabs Inc.
AS26283 NCIC - Northern Colorado Internet Coop
AS26284 BADGER-INTERNET-INC - Badger Internet, Inc.
AS26285 FARMER-MAC - Farmer Mac
AS26286 ACTIVESERVERS - ActiveServers, Inc
AS26287 NBER-AS - National Bureau of Economic Research
AS26288 KNET-1 - Keewaytinook Okimakanak
AS26289 ALSONCAPITALPARTNERS - Alson Capital Partners
AS26290 VALIANT-COMM - Valiant Solutions Inc.
AS26291 ACML-ASN - AI CAPITAL MANAGEMENT LLC.
AS26292 ASN-SHREWS - SHREWSBURY COMMUNITY CABLEVISION
AS26293 DATE-COM - Date.com, Inc.
AS26294 MILLENIANET - Millenianet Corp.
AS26295 CORALENERGY - Coral Energy
AS26297 BOREL-AS1 - Borel Private Bank and Trust Company
AS26298 NET-BCBSF-ASN - Blue Cross Blue Shield of Florida, Inc.
AS26300 SASK-RESEARCH-NETWORK - SRNet Saskatchewan Research Network Inc.
AS26301 I-BRIDGE-CHAR01 - Dimension Data
AS26303 LSUAGCENTER - LSU AgCenter
AS26304 FFTW - Fischer Franics Trees& Watts
AS26305 ASN-SSM - SSM Health Care
AS26306 KARCHER - The Karcher Group Inc.
AS26307 AFS-OKC - Advanced Financial Solutions
AS26308 NETWORKATS - American Technology Services, Inc.
AS26309 OCH-TELEPORT - On Call Hawaii, Inc.
AS26310 SANDICOR-1 - SANDICOR, INC.
AS26312 ASN-LATINODE-US - Tropical Star Communications Inc.
AS26313 VCAD-SANJOSE - Cadence Vcad
AS26314 TI-AUTOMOTIVE - TI GROUP AUTOMOTIVE SYSTEMS, L.L.C.
AS26315 PINSON - Pinson Communications
AS26316 ASN-ALTAVISTA-CRWL - AltaVista Company
AS26317 Lisa Communications Ltd
AS26318 VINMAR - Vinmar International Ltd.
AS26319 CHFCU - CoastHills Federal Credit Union
AS26320 VOYAGER-1 - VOYAGER TECHNOLOGIES
AS26321 TSX-GROUP - The Toronto Stock Exchange
AS26323 CBSSC-NET-BLK - CBS Studio Center
AS26324 09ICMASNET02 - INTERNATIONAL CITY/COUNTY MANAGEMENT ASSOCIATION
AS26325 TECHCU-AS - Technology Credit Union
AS26326 ONENECK-IT-SERVICES - OneNeck IT Services
AS26327 WORLDCAREGLOBAL - WorldCare, Inc.
AS26329 INSERVER-NETWORKS - InServer Networks
AS26330 AVFUEL-CORPORATION - AVFuel Corporation
AS26331 CACU - Community America Credit Union
AS26332 CAC-EAST3 - Credit Acceptance
AS26334 FCG-1 - First Consulting Group
AS26335 MTSU - Middle Tennessee State University
AS26336 FCG-2 - First Consulting Group
AS26339 JAS-NETWORKS - JAS Networks Inc.
AS26341 OSI-ASP - Open Solutions Inc.
AS26342 DC-ASN - Deloitte Consulting
AS26343 SPT-ASN-001 - Sterling Payment Technologies, LLC
AS26344 REALPAGE-INC - Real Page, Inc.
AS26345 TREK - Trek Bicycle Corporation
AS26346 WCIXN3 - WCIX.Net, Inc.
AS26347 DREAMHOST-AS - New Dream Network, LLC
AS26349 PZLQS-AS - Pennzoil-Quaker State Co.
AS26352 SHIPCO-TRANSPORT - Shipco Transport
AS26354 VISTO-UK - Visto Corporation
AS26355 TIDIPRODUCTSBGP - TIDI Products LLc
AS26356 UNOPS - United Nations Office for Project Services
AS26357 IBC-TLH01 - Linux Systems Engineers, Inc.
AS26358 NFSMT - NATIONAL FLOOD SERVICES
AS26359 CARDINALCOMMERCE6119 - Cardinal Commerce Corporation
AS26360 FIFTH-THIRD-BANCORP - Fifth Third Bank
AS26361 MDMGROUP-1 - MDM TECHNICAL SOLUTIONS INC.
AS26362 DTI - Digital Telecommunications, Inc.
AS26363 TYCO-HC-MF - TYCO HEALTHCARE
AS26364 AS4VIPSCORP - VIPS, Inc.
AS26365 PANTH-1 - Pantheon Software Inc.
AS26366 DATICON-INC - Daticon Inc
AS26367 BRADLEY-UNIVERSITY - Bradley University
AS26368 INFOSYSTEMSINC - Info Systems, Inc.
AS26370 AMERIPAY-CORPORATION - Ameripay Corporation
AS26371 SWMC - Southwest Washington Medical Center
AS26372 VERMONTINFORMATION - Vermont Information Processing
AS26373 EVY-CA - Evy of California, Inc.
AS26374 FIRST-AMERICAN-ELS - First American Equity Loan Services
AS26375 EASYCGI - Easy CGI, Inc.
AS26376 IBC4-AS - International Bonded Couriers, Inc.
AS26377 STATLINE-INTERNET - Statline, LLC
AS26378 ADORAMA - ADORAMA
AS26379 AGILENT-FIREHUNTER - Agilent Technologies
AS26381 HSBC-COM - hsbc.com
AS26382 INDYMACBANK - Indymac Bank Corporation
AS26383 CHILITECH - CHILITECH INTERNET SOLUTIONS
AS26384 ALLEGHENYINTEL-CUM - Allegheny Intel, L.L.C.
AS26385 XTRIA-AS-1 - Xtria, LLC
AS26386 XIGN-CORP - Xign Corporation
AS26387 WSC-WYOMISSINGPA - Weidenhammer
AS26388 RLMNY - ROBINSON LERER AND MONTGOMERY
AS26389 ASN-NEXTCOMM - NEXT COMMUNICATION INC
AS26391 ASWECHANGE-SD-CA - As We Change
AS26392 ADCTELECOMMUNICATIONS - ADC Telecommunications, Inc.
AS26393 FCHS - FitzPatrick, Cella, Harper and Scinto
AS26394 LUFTHANSASYSTEMSNA - Lufthansa Systems North America Inc.
